"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"50","22.120141803906","299.70072403936","294.31863983635","47029.763469079","1.2467007535685","55.354675006303","8.0593686513178","30.531463643196","3.2417131982687","23.553867585239","16.726316844996","3.0887597169609","1.6209026048051","43.457618136385","42.851182510186","297.87356942952","blackout"
"51","22.944693486143","298.38237816339","295.23154208789","47061.096650492","0.46908251949041","55.232344918806","7.7458210255409","33.312033043056","-8.6725614749538","19.811279570043","15.799962944116","3.1156980149957","5.9155924773014","43.921736621798","43.559760426214","297.90644958264","blackout"
"52","22.062121977021","300.71799689972","294.89268240095","47093.237861633","2.3197404079599","56.076561297854","9.1637474506357","31.358285719449","0.82130421571698","21.600273032508","16.087046410272","4.1462872838897","2.0360651295283","42.856601135621","42.554125207323","297.00853345334","blackout"
"53","21.174615310551","298.71594690908","296.12527320593","47125.813968489","1.5457767083978","56.657909112227","8.3659387421768","31.644136413291","11.854407319476","22.678683088732","16.695837939788","2.21524600159","2.1936460194577","42.168546673878","44.376300255996","297.35248587522","blackout"
"54","21.684404354333","298.89968052503","297.11634992122","47157.147657257","2.496588613751","55.212203267916","7.1925984208347","32.401533957045","-2.2529464734846","20.765075119758","15.03918674058","2.7107024350404","3.0508333509781","41.497511103363","41.132934865886","296.85947071409","blackout"
"55","19.637832960845","301.79576923688","296.76710597742","47189.143703622","1.0264397072344","55.674052299085","8.0986439450559","31.594126555983","-9.343645109407","20.927405577536","14.121320475212","3.4850114398823","3.670086501545","41.653607146973","42.708394972263","298.23841651307","blackout"
"56","20.151715618618","298.89091475664","296.08653183164","47220.35100411","-0.11265745548177","55.270816060455","6.6339353025207","32.302317337778","9.5177235436096","19.603779689877","14.735930741062","3.9858026479723","3.5510848933174","43.496443260337","43.108793229681","298.07900671903","blackout"
"57","18.597009374522","299.91334023866","296.30556444099","47252.029817176","-0.76361197999007","55.806748871837","7.9588410446665","32.492660559838","9.9535095524001","17.762330162073","14.345576984323","3.22661678961","3.6482318403769","42.890260126235","44.476337625425","297.98487995171","blackout"
"58","20.967794341945","298.24405280482","297.47577507959","47284.528249751","2.0163669602029","57.413670812777","8.778338508004","31.045063014289","-8.042308223392","20.176511041659","14.778629115749","4.3976769870771","4.2036283249186","42.166372642813","43.459320471968","299.83938972416","blackout"
"59","19.333629544724","300.13606950518","296.06669903901","47314.762451852","1.0659007315053","55.614101436051","7.9353250917003","31.060966238231","-3.2760274025841","19.296690785388","15.55972846157","5.0537720403551","3.9753679951557","42.767849491129","44.692135849908","298.33729290735","blackout"
"60","18.295566916687","299.08560962332","298.27527037348","47348.312219571","2.352992771962","55.8621880424","8.8242155421211","30.951779634762","10.713929886429","16.092146898262","15.533845382216","1.8194879854323","4.1691725215251","41.674446616777","43.807965037902","298.42266063505","blackout"
"0","103.2813322667","323.97971262904","292.72052054444","50419.310192594","48.939787872404","61.583661628638","6.8461170867114","527.48553143072","527.53025873781","105.35576401306","15.16325778298","101.06729530686","100.63340643306","22.103965423937","59.124928745666","309.93396519196","blacksem"
"1","105.24262381472","324.41696413479","290.71363170066","50419.337614719","48.345942570995","62.472458926674","7.0316257997308","527.94801871573","527.95297891212","105.60423807369","15.307382514279","101.22138290195","99.466734708352","22.03023236881","58.163731222687","306.81376353808","blacksem"
"2","97.915752107676","324.19744637602","290.30229411044","50044.357016145","47.565286515252","60.860327823309","6.8760332379384","33.4623728618","346.92449643549","99.034234076886","15.10920638667","100.10320580796","101.65747377759","21.893546996092","58.5438189988","308.16226226746","blacksem"
